Step,Site,State
87,Histone_1,C
87,Histone_10,C
87,Histone_2,C
87,Histone_3,C
87,Histone_4,U
87,Histone_5,C
87,Histone_6,U
87,Histone_7,P
87,Histone_8,U
87,Histone_9,C
88,Histone_1,C
88,Histone_10,C
88,Histone_2,C
88,Histone_3,C
88,Histone_4,P
88,Histone_5,C
88,Histone_6,U
88,Histone_7,P
88,Histone_8,U
88,Histone_9,C
89,Histone_1,C
89,Histone_10,C
89,Histone_2,C
89,Histone_3,C
89,Histone_4,P
89,Histone_5,C
89,Histone_6,U
89,Histone_7,P
89,Histone_8,U
89,Histone_9,C
90,Histone_1,C
90,Histone_10,C
90,Histone_2,U
90,Histone_3,C
90,Histone_4,U
90,Histone_5,C
90,Histone_6,P
90,Histone_7,P
90,Histone_8,A
90,Histone_9,C
91,Histone_1,U
91,Histone_10,C
91,Histone_2,P
91,Histone_3,C
91,Histone_4,A
91,Histone_5,C
91,Histone_6,P
91,Histone_7,P
91,Histone_8,U
91,Histone_9,C
92,Histone_1,P
92,Histone_10,C
92,Histone_2,P
92,Histone_3,C
92,Histone_4,C
92,Histone_5,C
92,Histone_6,P
92,Histone_7,P
92,Histone_8,C
92,Histone_9,C
93,Histone_1,P
93,Histone_10,U
93,Histone_2,P
93,Histone_3,C
93,Histone_4,C
93,Histone_5,C
93,Histone_6,P
93,Histone_7,P
93,Histone_8,C
93,Histone_9,C
94,Histone_1,P
94,Histone_10,M
94,Histone_2,P
94,Histone_3,C
94,Histone_4,C
94,Histone_5,C
94,Histone_6,P
94,Histone_7,P
94,Histone_8,C
94,Histone_9,C
95,Histone_1,P
95,Histone_10,U
95,Histone_2,P
95,Histone_3,C
95,Histone_4,C
95,Histone_5,C
95,Histone_6,P
95,Histone_7,P
95,Histone_8,C
95,Histone_9,C
96,Histone_1,P
96,Histone_10,U
96,Histone_2,P
96,Histone_3,C
96,Histone_4,C
96,Histone_5,C
96,Histone_6,P
96,Histone_7,P
96,Histone_8,C
96,Histone_9,C
97,Histone_1,P
97,Histone_10,U
97,Histone_2,P
97,Histone_3,C
97,Histone_4,C
97,Histone_5,C
97,Histone_6,P
97,Histone_7,P
97,Histone_8,C
97,Histone_9,C
98,Histone_1,P
98,Histone_10,U
98,Histone_2,U
98,Histone_3,C
98,Histone_4,U
98,Histone_5,C
98,Histone_6,P
98,Histone_7,P
98,Histone_8,U
98,Histone_9,C
99,Histone_1,P
99,Histone_10,M
99,Histone_2,U
99,Histone_3,C
99,Histone_4,U
99,Histone_5,U
99,Histone_6,P
99,Histone_7,P
99,Histone_8,M
99,Histone_9,C
100,Histone_1,P
100,Histone_10,M
100,Histone_2,U
100,Histone_3,C
100,Histone_4,A
100,Histone_5,U
100,Histone_6,P
100,Histone_7,P
100,Histone_8,M
100,Histone_9,C
101,Histone_1,P
101,Histone_10,U
101,Histone_2,A
101,Histone_3,U
101,Histone_4,C
101,Histone_5,U
101,Histone_6,P
101,Histone_7,P
101,Histone_8,M
101,Histone_9,U
102,Histone_1,P
102,Histone_10,U
102,Histone_2,P
102,Histone_3,U
102,Histone_4,C
102,Histone_5,M
102,Histone_6,P
102,Histone_7,P
102,Histone_8,M
102,Histone_9,U
103,Histone_1,P
103,Histone_10,U
103,Histone_2,P
103,Histone_3,U
103,Histone_4,C
103,Histone_5,M
103,Histone_6,P
103,Histone_7,P
103,Histone_8,M
103,Histone_9,C
104,Histone_1,P
104,Histone_10,U
104,Histone_2,P
104,Histone_3,A
104,Histone_4,C
104,Histone_5,M
104,Histone_6,P
104,Histone_7,P
104,Histone_8,M
104,Histone_9,C
105,Histone_1,U
105,Histone_10,U
105,Histone_2,U
105,Histone_3,C
105,Histone_4,C
105,Histone_5,M
105,Histone_6,P
105,Histone_7,P
105,Histone_8,M
105,Histone_9,C
106,Histone_1,U
106,Histone_10,A
106,Histone_2,U
106,Histone_3,C
106,Histone_4,C
106,Histone_5,M
106,Histone_6,P
106,Histone_7,P
106,Histone_8,M
106,Histone_9,C
107,Histone_1,U
107,Histone_10,C
107,Histone_2,M
107,Histone_3,C
107,Histone_4,C
107,Histone_5,M
107,Histone_6,P
107,Histone_7,P
107,Histone_8,M
107,Histone_9,C
108,Histone_1,P
108,Histone_10,C
108,Histone_2,M
108,Histone_3,C
108,Histone_4,U
108,Histone_5,U
108,Histone_6,P
108,Histone_7,P
108,Histone_8,M
108,Histone_9,C
109,Histone_1,P
109,Histone_10,C
109,Histone_2,M
109,Histone_3,C
109,Histone_4,U
109,Histone_5,U
109,Histone_6,U
109,Histone_7,P
109,Histone_8,M
109,Histone_9,C
110,Histone_1,P
110,Histone_10,C
110,Histone_2,M
110,Histone_3,C
110,Histone_4,U
110,Histone_5,P
110,Histone_6,U
110,Histone_7,P
110,Histone_8,M
110,Histone_9,C
111,Histone_1,P
111,Histone_10,C
111,Histone_2,M
111,Histone_3,C
111,Histone_4,U
111,Histone_5,P
111,Histone_6,U
111,Histone_7,P
111,Histone_8,M
111,Histone_9,C
112,Histone_1,P
112,Histone_10,C
112,Histone_2,M
112,Histone_3,C
112,Histone_4,U
112,Histone_5,P
112,Histone_6,A
112,Histone_7,P
112,Histone_8,M
112,Histone_9,C
113,Histone_1,P
113,Histone_10,C
113,Histone_2,M
113,Histone_3,C
113,Histone_4,U
113,Histone_5,P
113,Histone_6,C
113,Histone_7,P
113,Histone_8,U
113,Histone_9,C
114,Histone_1,P
114,Histone_10,C
114,Histone_2,M
114,Histone_3,C
114,Histone_4,U
114,Histone_5,P
114,Histone_6,C
114,Histone_7,U
114,Histone_8,M
114,Histone_9,C
115,Histone_1,P
115,Histone_10,C
115,Histone_2,M
115,Histone_3,C
115,Histone_4,P
115,Histone_5,P
115,Histone_6,C
115,Histone_7,P
115,Histone_8,M
115,Histone_9,C
116,Histone_1,P
116,Histone_10,C
116,Histone_2,M
116,Histone_3,C
116,Histone_4,P
116,Histone_5,P
116,Histone_6,C
116,Histone_7,P
116,Histone_8,M
116,Histone_9,C
117,Histone_1,P
117,Histone_10,C
117,Histone_2,M
117,Histone_3,C
117,Histone_4,P
117,Histone_5,P
117,Histone_6,C
117,Histone_7,P
117,Histone_8,M
117,Histone_9,C
118,Histone_1,P
118,Histone_10,C
118,Histone_2,M
118,Histone_3,C
118,Histone_4,P
118,Histone_5,P
118,Histone_6,C
118,Histone_7,P
118,Histone_8,M
118,Histone_9,C
119,Histone_1,P
119,Histone_10,C
119,Histone_2,M
119,Histone_3,C
119,Histone_4,P
119,Histone_5,P
119,Histone_6,C
119,Histone_7,U
119,Histone_8,U
119,Histone_9,C
120,Histone_1,P
120,Histone_10,C
120,Histone_2,M
120,Histone_3,C
120,Histone_4,P
120,Histone_5,P
120,Histone_6,C
120,Histone_7,C
120,Histone_8,U
120,Histone_9,C
121,Histone_1,P
121,Histone_10,C
121,Histone_2,M
121,Histone_3,C
121,Histone_4,U
121,Histone_5,P
121,Histone_6,C
121,Histone_7,C
121,Histone_8,A
121,Histone_9,C
122,Histone_1,P
122,Histone_10,U
122,Histone_2,U
122,Histone_3,U
122,Histone_4,U
122,Histone_5,P
122,Histone_6,C
122,Histone_7,C
122,Histone_8,C
122,Histone_9,C
123,Histone_1,P
123,Histone_10,U
123,Histone_2,U
123,Histone_3,C
123,Histone_4,A
123,Histone_5,U
123,Histone_6,C
123,Histone_7,C
123,Histone_8,C
123,Histone_9,U
124,Histone_1,P
124,Histone_10,U
124,Histone_2,U
124,Histone_3,C
124,Histone_4,C
124,Histone_5,M
124,Histone_6,U
124,Histone_7,C
124,Histone_8,C
124,Histone_9,U
125,Histone_1,P
125,Histone_10,U
125,Histone_2,U
125,Histone_3,C
125,Histone_4,C
125,Histone_5,M
125,Histone_6,C
125,Histone_7,C
125,Histone_8,C
125,Histone_9,U
126,Histone_1,P
126,Histone_10,P
126,Histone_2,C
126,Histone_3,C
126,Histone_4,C
126,Histone_5,M
126,Histone_6,C
126,Histone_7,C
126,Histone_8,U
126,Histone_9,U
127,Histone_1,P
127,Histone_10,P
127,Histone_2,C
127,Histone_3,C
127,Histone_4,C
127,Histone_5,U
127,Histone_6,C
127,Histone_7,C
127,Histone_8,U
127,Histone_9,U
128,Histone_1,P
128,Histone_10,P
128,Histone_2,U
128,Histone_3,C
128,Histone_4,C
128,Histone_5,U
128,Histone_6,C
128,Histone_7,U
128,Histone_8,U
128,Histone_9,M
129,Histone_1,P
129,Histone_10,P
129,Histone_2,P
129,Histone_3,C
129,Histone_4,C
129,Histone_5,U
129,Histone_6,C
129,Histone_7,U
129,Histone_8,U
129,Histone_9,M
130,Histone_1,P
130,Histone_10,P
130,Histone_2,P
130,Histone_3,C
130,Histone_4,C
130,Histone_5,U
130,Histone_6,C
130,Histone_7,U
130,Histone_8,A
130,Histone_9,M
131,Histone_1,P
131,Histone_10,P
131,Histone_2,P
131,Histone_3,C
131,Histone_4,C
131,Histone_5,U
131,Histone_6,C
131,Histone_7,U
131,Histone_8,C
131,Histone_9,M
132,Histone_1,P
132,Histone_10,P
132,Histone_2,P
132,Histone_3,C
132,Histone_4,C
132,Histone_5,U
132,Histone_6,C
132,Histone_7,U
