Step,Site,State
85,Histone_2,M
85,Histone_3,M
85,Histone_4,M
85,Histone_5,M
85,Histone_6,M
85,Histone_7,M
85,Histone_8,M
85,Histone_9,M
86,Histone_1,M
86,Histone_10,M
86,Histone_2,M
86,Histone_3,M
86,Histone_4,M
86,Histone_5,M
86,Histone_6,M
86,Histone_7,U
86,Histone_8,M
86,Histone_9,M
87,Histone_1,M
87,Histone_10,M
87,Histone_2,M
87,Histone_3,M
87,Histone_4,M
87,Histone_5,M
87,Histone_6,M
87,Histone_7,M
87,Histone_8,M
87,Histone_9,M
88,Histone_1,M
88,Histone_10,M
88,Histone_2,M
88,Histone_3,M
88,Histone_4,M
88,Histone_5,M
88,Histone_6,M
88,Histone_7,M
88,Histone_8,M
88,Histone_9,M
89,Histone_1,M
89,Histone_10,M
89,Histone_2,M
89,Histone_3,M
89,Histone_4,U
89,Histone_5,M
89,Histone_6,M
89,Histone_7,M
89,Histone_8,M
89,Histone_9,M
90,Histone_1,M
90,Histone_10,M
90,Histone_2,M
90,Histone_3,M
90,Histone_4,M
90,Histone_5,M
90,Histone_6,M
90,Histone_7,M
90,Histone_8,M
90,Histone_9,M
91,Histone_1,M
91,Histone_10,M
91,Histone_2,M
91,Histone_3,U
91,Histone_4,M
91,Histone_5,M
91,Histone_6,M
91,Histone_7,M
91,Histone_8,M
91,Histone_9,M
92,Histone_1,M
92,Histone_10,M
92,Histone_2,M
92,Histone_3,M
92,Histone_4,M
92,Histone_5,M
92,Histone_6,M
92,Histone_7,M
92,Histone_8,M
92,Histone_9,M
93,Histone_1,M
93,Histone_10,M
93,Histone_2,M
93,Histone_3,M
93,Histone_4,M
93,Histone_5,M
93,Histone_6,M
93,Histone_7,M
93,Histone_8,M
93,Histone_9,M
94,Histone_1,M
94,Histone_10,M
94,Histone_2,M
94,Histone_3,M
94,Histone_4,M
94,Histone_5,M
94,Histone_6,M
94,Histone_7,M
94,Histone_8,M
94,Histone_9,M
95,Histone_1,M
95,Histone_10,M
95,Histone_2,M
95,Histone_3,M
95,Histone_4,M
95,Histone_5,M
95,Histone_6,M
95,Histone_7,M
95,Histone_8,M
95,Histone_9,M
96,Histone_1,M
96,Histone_10,M
96,Histone_2,M
96,Histone_3,M
96,Histone_4,M
96,Histone_5,M
96,Histone_6,M
96,Histone_7,M
96,Histone_8,M
96,Histone_9,M
97,Histone_1,M
97,Histone_10,M
97,Histone_2,M
97,Histone_3,M
97,Histone_4,M
97,Histone_5,M
97,Histone_6,M
97,Histone_7,M
97,Histone_8,M
97,Histone_9,M
98,Histone_1,M
98,Histone_10,M
98,Histone_2,M
98,Histone_3,M
98,Histone_4,M
98,Histone_5,M
98,Histone_6,M
98,Histone_7,M
98,Histone_8,M
98,Histone_9,M
99,Histone_1,M
99,Histone_10,M
99,Histone_2,M
99,Histone_3,M
99,Histone_4,M
99,Histone_5,M
99,Histone_6,M
99,Histone_7,M
99,Histone_8,M
99,Histone_9,M
100,Histone_1,M
100,Histone_10,M
100,Histone_2,M
100,Histone_3,M
100,Histone_4,M
100,Histone_5,M
100,Histone_6,M
100,Histone_7,M
100,Histone_8,M
100,Histone_9,M
101,Histone_1,M
101,Histone_10,M
101,Histone_2,M
101,Histone_3,M
101,Histone_4,M
101,Histone_5,M
101,Histone_6,M
101,Histone_7,M
101,Histone_8,M
101,Histone_9,U
102,Histone_1,M
102,Histone_10,M
102,Histone_2,M
102,Histone_3,M
102,Histone_4,M
102,Histone_5,M
102,Histone_6,M
102,Histone_7,M
102,Histone_8,M
102,Histone_9,U
103,Histone_1,M
103,Histone_10,M
103,Histone_2,M
103,Histone_3,M
103,Histone_4,M
103,Histone_5,M
103,Histone_6,M
103,Histone_7,M
103,Histone_8,M
103,Histone_9,U
104,Histone_1,M
104,Histone_10,M
104,Histone_2,M
104,Histone_3,M
104,Histone_4,M
104,Histone_5,M
104,Histone_6,M
104,Histone_7,M
104,Histone_8,M
104,Histone_9,U
105,Histone_1,M
105,Histone_10,M
105,Histone_2,M
105,Histone_3,M
105,Histone_4,M
105,Histone_5,M
105,Histone_6,M
105,Histone_7,M
105,Histone_8,M
105,Histone_9,U
106,Histone_1,M
106,Histone_10,M
106,Histone_2,M
106,Histone_3,M
